GLOTTOCODE;Name;ISOCODE
arab1265;Arabkir;
arab1266;Arabana-Wangganguru;
arab1267;Arabana;ard
arab1268;Arabela;arl
arab1393;Arabian Peninsula Arabic;
arab1394;Arabian;
arab1395;Arabic;
arab1396;Arabela-Andoa;
arab1397;Arabic-based pidgin;
arab1398;Arab Sign;
arab1399;Arab El-Naim Sign Language;
arac1235;Aracaju;
arad1238;Aradhin;
araf1243;Arafundi;arf
araf1245;Arafundi-Enga Pidgin;
arag1245;Aragonese;arg
arag1246;Modern Castilian of Aragon;
arai1239;Araicu;
arak1251;Araki (Iran);
arak1252;Araki;akr
arak1253;Arakan Manobo;
arak1254;Arakwal;rkw
arak1255;Arakanese-Marma;
arak1256;Arakanese;mhv
arak1257;Araki-Tangoa;
aral1243;Aralle-Tabulahan;atq
aral1244;Aralle;
aram1252;Aramanik;aam
aram1253;Arammba;stk
aram1254;Aramia River;
aram1259;Aramaic;
aram1260;Arame-Gubaare;
aran1237;Dombano;jbj
aran1260;Aranese;
aran1261;Aranadan;aaf
aran1263;Aranda;
aran1264;Arangka'a;
aran1265;Aranama;xrt
aran1266;Arandic-Thura-Yura;
aran1267;Arandic;
aran1268;Arani-Bidgoli;
arao1247;Araona-Toromono;
arao1248;Araona;aro
arap1273;Arapahoic;
arap1274;Arapaho;arp
arap1275;Arapaso;arj
arap1278;Aráp;
arap1279;Arapesh;
arap1280;Arapaho-Gros Ventre-Besawunena;
arar1263;Ararapina;
arar1264;Ararawa;
arar1265;Arara-Shawanawa;
arar1266;Ararat;
aras1241;Arasairi;
arau1254;Arau-Varosia;
arau1255;Araucanian;
arav1239;Arava;
arav1240;Aravia;
araw1269;Arawe-Pasismanua;
araw1271;Nuclear Arawe;
araw1272;Arawum;awm
araw1273;Araweté;awt
araw1276;Lokono;arw
araw1280;Arawa;
araw1281;Arawakan;
araw1282;Arawan;
araw1283;Arawe;
araw1288;Arawakan (Unattested);
araw1289;Arawan (Unattested);
araw1290;Arawetic;
araz1236;Arazaire;
arba1240;Arbanasi;
arbe1236;Arbëreshë Albanian;aae
arbe1239;Arbel;
arbo1235;Arborense;
arbo1245;Arbore;arv
arca1234;Arcadocypriot;
arch1244;Archi;aqc
arch1246;Archaic Norrlandic;
arch1247;Archaic Irish (7th century);
arch1248;Archaic Egyptian;
arda1234;Ardakani;
arde1234;Ardestani;
