Glottocode;ISO639P3code
caca1247;ccr
cacu1241;cbv
cadd1256;cad
sege1246;seg
sege1246;seg
cahu1268;cah
cahu1264;chl
egyp1253;arz
biyo1243;byo
cajo1238;zad
call1235;caw
calo1236;rmq
;
caml1239;rab
coat1238;mco
camp1262;cml
ashe1272;prq
samb1315;saq
cand1248;cbu
cani1243;caz
sout2916;plv
yuec1235;yue
capa1241;kaq
kabu1256;kea
capi1239;cps
caqu1242;cot
carn1240;caq
cara1270;cfd
cara1271;crf
cara1272;cbc
;
;
cari1279;cbd
cari1279;cbd
caro1242;cal
carr1249;crx
cash1251;cbr
casi1235;dgc
casu1237;asc
stan1289;cat
stan1289;cat
stan1289;cat
cata1286;chc
embe1260;cto
cavi1250;cav
cavi1250;cav
chac1249;cbi
cayu1262;cyb
cayu1261;cay
cayu1241;xcy
gree1278;giq
chee1238;ruk
cebu1242;ceb
tief1242;tiq
cemu1238;cam
cenn1238;cen
cent2142;ayr
cent2142;ayr
guja1253;gju
cent2098;zbc
cent2087;bcl
cent2292;lbk
cent2100;dtp
cent2018;fuq
wakh1245;wbl
keny1279;ken
komo1258;xom
cent2058;mwo
cent2072;mxz
cent2145;pbs
kich1262;quc
kich1262;quc
cent2128;ess
cent2140;csm
cent2090;tgt
cent2131;tar
teke1278;ebo
buru1296;bsk
chew1245;cwg
nyan1308;nya
chac1251;cao
sout2992;qxo
chad1240;cdy
chad1240;cdy
chag1247;chg
seba1251;sgw
chai1253;ciy
chak1271;cli
chak1266;ccp
chal1269;cll
sanm1295;mig
chal1267;tgf
;
shin1264;scl
cham1315;ceg
cham1309;cji
sout2649;pbt
cham1307;cdh
cham1313;can
cham1313;can
cham1313;can
cham1313;can
cham1318;ccc
cham1312;cha
east2563;cjm
west2650;cja
chan1313;nbc
biao1256;bmt
chan1319;cga
chan1313;nbc
chan1310;chx
tach1249;shy
minn1241;nan
wakh1245;wbl
char1269;cra
khor1269;kmz
char1269;cra
nort2646;pbu
tata1258;cta
west2644;ctp
khow1242;khw
chau1259;cdn
chay1248;cbt
chec1245;che
chec1245;che
uppe1439;cjh
chek1238;mrn
;
chen1259;cjn
chen1259;cjn
chen1255;cde
jeng1241;jeg
shee1238;shx
chen1266;cnu
chep1245;cdm
nort2646;pbu
cher1273;chr
caja1238;qvc
chey1247;chy
chhi1245;ctn
iumi1238;ium
chia1262;cip
chia1262;cip
